1,Clear water bottle
2,Green water bottle
3,Pillow
4,Deodorant
5,Banana
6,Cutting board
7,Coffee jar
8,Sunglass case
9,Canned tomatos
10,Tomato paste
11,Wash cloth
12,Duct tape
13,Tennis ball
14,Tea box
15,Candy box
16,Coaster
17,Matchbox
18,Playing cards
19,Candy tin
20,Light bulb
21,Sponge
22,Vase
23,Battery
24,Seed box
25,TV remote
26,Sunglasses
27,Buttons
28,Flags
29,Tissues
30,Adhesive tape
31,Mug
32,Wrench
33,Pen
34,Tea light
35,Bike light
36,Keychain
37,Clothespin
38,Bouncing ball
39,Power adapter
